,MED2
0,b'15395'
1,b'17485'
2,b'26785'
3,b'-9'
4,b'03905'
5,b'-9'
6,b'-9'
7,b'-9'
8,b'96022'
9,b'00341'
10,b'-9'
11,b'-9'
12,b'-9'
13,b'18640'
14,b'-9'
15,b'17370'
16,b'06125'
17,b'-9'
18,b'01002'
19,b'95005'
20,b'16475'
21,b'32905'
22,b'60115'
23,b'94014'
24,b'99101'
25,b'60790'
26,b'19675'
27,b'33555'
28,b'-9'
29,b'19675'
30,b'19675'
31,b'19675'
32,b'-9'
33,b'02805'
34,b'03276'
35,b'24975'
36,b'18395'
37,b'13320'
38,b'13009'
39,b'99133'
40,b'-9'
41,b'27770'
42,b'-9'
43,b'98141'
44,b'04042'
45,b'09789'
46,b'35023'
47,b'25695'
48,b'35023'
49,b'92141'
50,b'02037'
51,b'18555'
52,b'26785'
53,b'91063'
54,b'09722'
55,b'13775'
56,b'21160'
57,b'95005'
58,b'97142'
59,b'07930'
60,b'93396'
61,b'02805'
62,b'19218'
63,b'19070'
64,b'33843'
65,b'24890'
66,b'24890'
67,b'97157'
68,b'02203'
69,b'02805'
70,b'97157'
71,b'-9'
72,b'-9'
73,b'07250'
74,b'96173'
75,b'93193'
76,b'-9'
77,b'95133'
78,b'93181'
79,b'99133'
80,b'-9'
81,b'-9'
82,b'31997'
83,b'16475'
84,b'94158'
85,b'-9'
86,b'20290'
87,b'14000'
88,b'-9'
89,b'94104'
90,b'-9'
91,b'-9'
92,b'10087'
93,b'41315'
94,b'-9'
95,b'12196'
96,b'-9'
97,b'25674'
98,b'98115'
99,b'-9'
100,b'31550'
101,b'-9'
102,b'-9'
103,b'02900'
104,b'09600'
105,b'14930'
106,b'-9'
107,b'92161'
108,b'01630'
109,b'96041'
110,b'03410'
111,b'04120'
112,b'03273'
113,b'14000'
114,b'89039'
115,b'32905'
116,b'-9'
117,b'29250'
118,b'92105'
119,b'19840'
120,b'-9'
121,b'-9'
122,b'09585'
123,b'-9'
124,b'-9'
125,b'02900'
126,b'12046'
127,b'11665'
128,b'-9'
129,b'89039'
130,b'-9'
131,b'02805'
132,b'93396'
133,b'01214'
134,b'01865'
135,b'93183'
136,b'91000'
137,b'92161'
138,b'20285'
139,b'01055'
140,b'-9'
141,b'02805'
142,b'33843'
143,b'20285'
144,b'95050'
145,b'-9'
146,b'00280'
147,b'91081'
148,b'24885'
149,b'-9'
150,b'89020'
151,b'09976'
152,b'-9'
153,b'-9'
154,b'92105'
155,b'-9'
156,b'-9'
157,b'01630'
158,b'89039'
159,b'12046'
160,b'-9'
161,b'25674'
162,b'-9'
163,b'-9'
164,b'-9'
165,b'96041'
166,b'93183'
167,b'06839'
168,b'23228'
169,b'-9'
170,b'09600'
171,b'23755'
172,b'-9'
173,b'-9'
174,b'-9'
175,b'35023'
176,b'24890'
177,b'30730'
178,b'-9'
179,b'01630'
180,b'95133'
181,b'01002'
182,b'92149'
183,b'-9'
184,b'97047'
185,b'97163'
186,b'-9'
187,b'-9'
188,b'00078'
189,b'24805'
190,b'09600'
191,b'98038'
192,b'02805'
193,b'27368'
194,b'93179'
195,b'17485'
196,b'98038'
197,b'01630'
198,b'89039'
199,b'02900'
200,b'24890'
201,b'92105'
202,b'99133'
203,b'-9'
204,b'95111'
205,b'-9'
206,b'98010'
207,b'07144'
208,b'03905'
209,b'17888'
210,b'02995'
211,b'96109'
212,b'-9'
213,b'89018'
214,b'12046'
215,b'32905'
216,b'17370'
217,b'23755'
218,b'-9'
219,b'92141'
220,b'-9'
221,b'09370'
222,b'-9'
223,b'28495'
224,b'-9'
225,b'-9'
226,b'00260'
227,b'-9'
228,b'09455'
229,b'12028'
230,b'93214'
231,b'-9'
232,b'00341'
233,b'96028'
234,b'-9'
235,b'-9'
236,b'-9'
237,b'-9'
238,b'-9'
239,b'-9'
240,b'-9'
241,b'-9'
242,b'92141'
243,b'19650'
244,b'00283'
245,b'07616'
