,RX1V1C1
0,b'057'
1,b'254'
2,b'057'
3,b'057'
4,b'057'
5,b'001'
6,b'097'
7,b'057'
8,b'122'
9,b'001'
10,
11,
12,b'057'
13,b'057'
14,b'001'
15,b'133'
16,b'254'
17,b'057'
18,b'057'
19,b'057'
20,b'057'
21,b'057'
22,b'001'
23,b'057'
24,b'057'
25,b'001'
26,b'057'
27,b'057'
28,
29,b'097'
30,b'057'
31,b'057'
32,b'057'
33,b'057'
34,b'001'
35,b'057'
36,b'057'
37,b'001'
38,b'040'
39,b'057'
40,b'057'
41,b'040'
42,
43,b'040'
44,b'358'
45,b'115'
46,b'040'
47,b'122'
48,b'040'
49,b'122'
50,b'242'
51,b'057'
52,b'057'
53,b'040'
54,b'081'
55,b'057'
56,b'057'
57,b'122'
58,b'057'
59,b'358'
60,b'057'
61,b'028'
62,b'040'
63,b'358'
64,b'122'
65,b'057'
66,b'001'
67,b'040'
68,b'057'
69,b'081'
70,b'057'
71,
72,
73,b'057'
74,b'242'
75,b'057'
76,
77,b'242'
78,b'242'
79,b'057'
80,
81,
82,b'242'
83,b'057'
84,b'115'
85,b'242'
86,b'087'
87,b'242'
88,
89,b'040'
90,b'242'
91,b'057'
92,b'087'
93,b'242'
94,
95,b'001'
96,
97,b'057'
98,b'057'
99,
100,b'057'
101,
102,
103,b'242'
104,b'057'
105,b'358'
106,b'001'
107,b'057'
108,b'057'
109,b'115'
110,b'105'
111,b'105'
112,b'358'
113,b'087'
114,b'115'
115,b'115'
116,b'115'
117,b'115'
118,b'057'
119,b'001'
120,b'057'
121,
122,b'057'
123,b'001'
124,b'057'
125,b'115'
126,b'057'
127,b'001'
128,b'001'
129,b'001'
130,b'057'
131,b'057'
132,b'122'
133,b'358'
134,b'001'
135,b'254'
136,b'001'
137,b'057'
138,b'057'
139,b'097'
140,b'122'
141,b'057'
142,b'133'
143,b'057'
144,b'057'
145,b'057'
146,b'001'
147,b'087'
148,b'040'
149,b'057'
150,b'057'
151,b'242'
152,
153,
154,b'087'
155,b'001'
156,b'057'
157,b'122'
158,b'242'
159,b'057'
160,b'122'
161,b'057'
162,b'254'
163,
164,b'057'
165,b'057'
166,b'057'
167,b'001'
168,b'001'
169,
170,b'115'
171,b'115'
172,
173,b'115'
174,b'057'
175,b'057'
176,b'001'
177,b'057'
178,b'057'
179,b'133'
180,b'040'
181,b'057'
182,b'358'
183,b'001'
184,b'358'
185,b'122'
186,b'115'
187,b'115'
188,b'057'
189,b'242'
190,b'115'
191,b'115'
192,b'057'
193,b'122'
194,b'057'
195,b'133'
196,b'057'
197,b'057'
198,b'087'
199,b'057'
200,b'057'
201,b'115'
202,b'115'
203,
204,b'097'
205,b'001'
206,b'122'
207,b'057'
208,b'097'
209,b'242'
210,b'057'
211,b'057'
212,
213,b'057'
214,b'057'
215,b'001'
216,b'057'
217,b'115'
218,b'001'
219,b'057'
220,
221,b'115'
222,b'122'
223,b'057'
224,
225,
226,b'057'
227,
228,b'242'
229,b'057'
230,b'001'
231,
232,b'115'
233,b'057'
234,b'001'
235,
236,b'115'
237,
238,
239,
240,
241,
242,b'115'
243,b'057'
244,b'057'
245,b'057'
246,b'115'
247,
248,b'254'
249,
250,b'087'
251,b'122'
252,
253,
254,b'057'
255,b'087'
256,b'057'
257,
258,b'254'
259,b'115'
260,
261,b'115'
262,b'057'
263,
264,b'115'
265,
266,b'057'
267,b'001'
268,b'057'
269,
270,b'115'
271,b'115'
272,
273,b'057'
274,
275,b'057'
276,
277,
278,b'057'
279,b'115'
280,b'057'
281,
282,b'001'
283,b'115'
284,
285,b'105'
286,b'122'
287,b'115'
288,
289,b'057'
290,
291,
292,b'115'
293,b'115'
294,b'057'
295,
296,b'057'
297,b'057'
298,b'057'
299,b'057'
300,
301,b'057'
302,
303,b'087'
304,b'057'
305,b'242'
306,b'057'
